Sl_no,Variable_name,Description
6,rural,Rural/Urban
18,age,Age
19,marital_status,Marital Status
20,delivered_any_baby,Have you delivered a live baby
21,born_alive_female,How many children have been born alive ever ?-Female  --impute
22,born_alive_male,How many children have been born alive ever ?-Male --impute
23,born_alive_total,How many children have been born alive ever ?-Total
27,mother_age_when_baby_was_born,What was your age at first live birth? (In completed years)
28,outcome_pregnancy,Has the outcome of any pregnancy(s) resulted in live birth/still birth/abortion
38,is_tubectomy,Modern Method-Tubectomy
40,is_copper_t,Modern Method-Copper-T/IUD
41,is_pills_daily,Modern Method-Pills(Daily
42,is_piils_weekly,Modern Method-Pills (weekly)
43,is_emergency_contraceptive,Modern Method-Emergency contraceptive Pill
45,is_moder_methods,Modern Method-Other Modern Method
46,is_contraceptive,Traditional Method-Contraceptive Herbs
47,is_periodic_abstinence,Traditional Method-Rhythm/periodic abstinence
48,is_withdrawal,Traditional Method-Withdrawal
49,is_amenorrahoea,Traditional Method-Lactational Amenorrhoea Method(LAM)
50,is_other_traditional_method,Traditional Method-Other Traditional Method
51,is_currently_pregnant,Are you currently Pregnant? 
52,pregnant_month,Record number of months of completed of pregnancy
56,when_you_bcome_mother_last_time,"When you became mother last time, did you want this child then, did you want to wait until later or did you not want to have any (more) children at all?"
72,anm_in_last_3_months,Did an ANM/ Health worker visit you during the last three months?
73,during_pregnancy,Have you availed Anganwadi Services during the pregnancy and/or lactation for the last surviving child?-During Pregnancy
74,during_lactation,Have you availed Anganwadi Services during the pregnancy and/or lactation for the last surviving child?-During Lactation
75,aware_abt_rti,Have you heard of RTI/STI?
76,aware_abt_hiv,Have you heard of HIV / AIDS?
77,aware_of_haf,Are you aware about the administration of HAF/ ORT / ORS and Zinc during diarrhoea?
78,aware_of_the_danger_signs,Are you aware of the danger signs of Acute Respiratory Infection (ARI) / Pneumonia?
101,highest_qualification,Highest educational qualification attained  (for age 7 years and above)
102,occupation_status,Occupation / Activity Status during last 365 days (for age 5 yrs. and above)
103,disability_status,Whether having any form of disability as on Date of Survey?
104,injury_treatment_type,Type of treatment for injury during last 1 year
105,illness_type,Type of illness
107,symptoms_pertaining_illness,Symptom(s) Pertaining to illness persisting for more than one month
108,sought_medical_care,Sought medical care
109,diagnosed_for,Has Diagnosed for
110,diagnosis_source,Source of Diagnosis
113,chew,Chew
114,smoke,Smoke
115,alcohol,Consume Alcohol
122,drinking_water_source,Main Source of Drinking water
123,is_water_filter,Does the household treat the water in any way to make it safer to drink
124,water_filteration,"If code 1 in Col.10,what does the household usually do to make water safer to drink?(code)"
125,toilet_used,Type of toilet facility mainly used(code)
126,is_toilet_shared,Whether toilet facility is shared?
148,ever_conceived,Have you ever conceived?
149,no_of_times_conceived,"If Yes, how many times have you conceived?"
150,age_at_first_conception,What was your age at first conception? (In completed years)
152,is_injectable_contraceptive,Modern Method-Injectible Contraceptives
153,months_of_preg_first_anc,How many months pregnant were you at the time of first ANC?
154,is_husband_living_with_you,Is your husband living with you?
158,health_prob_afters_fp_use,Have you/your husband had any health problems after you/your husband started using this method?
159,counselled_for_menstrual_hyg,Have you ever been counselled for menstrual hygiene?
160,aware_abt_haf,Are you aware about the administration of HAF during diarrhoea?
161,aware_abt_ort_ors,Are you aware about the administration of ORT / ORS during diarrhoea?
162,aware_abt_ort_ors_zinc,Are you aware about the administration of ORT / ORS and Zinc during diarrhoea?
163,aware_abt_danger_signs_new_born,Are you aware of the danger signs of new born?
179,wt,Weight

